item_cd,store_cd,日付,chanel_gp,販売数
3045386376735,861,2018-06-19,Yahoo!,0.0
3045386376735,861,2018-06-19,楽天,4.0
3045386376735,861,2018-06-19,自社EC,5.0
3045386376735,861,2018-06-20,Amazon,0.0
3045386376735,861,2018-06-20,Yahoo!,0.0
3045386376735,861,2018-06-20,楽天,2.0
3045386376735,861,2018-06-20,自社EC,0.0
3045386376735,861,2018-06-21,Amazon,0.0
3045386376735,861,2018-06-21,Yahoo!,0.0
3045386376735,861,2018-06-21,楽天,3.0
3045386376735,861,2018-06-21,自社EC,2.0
3045386376735,861,2018-06-22,Amazon,0.0
3045386376735,861,2018-06-22,Yahoo!,1.0
3045386376735,861,2018-06-22,楽天,2.0
3045386376735,861,2018-06-22,自社EC,2.0
3045386376735,861,2018-06-23,Amazon,0.0
3045386376735,861,2018-06-23,Yahoo!,0.0
3045386376735,861,2018-06-23,楽天,0.0
3045386376735,861,2018-06-23,自社EC,2.0
3045386376735,861,2018-06-24,Amazon,0.0
3045386376735,861,2018-06-24,Yahoo!,0.0
3045386376735,861,2018-06-24,楽天,2.0
3045386376735,861,2018-06-24,自社EC,6.0
3045386376735,861,2018-06-25,Amazon,0.0
3045386376735,861,2018-06-25,Yahoo!,2.0
3045386376735,861,2018-06-25,楽天,0.0
3045386376735,861,2018-06-25,自社EC,0.0
3045386376735,861,2018-06-26,Amazon,0.0
3045386376735,861,2018-06-26,Yahoo!,0.0
3045386376735,861,2018-06-26,楽天,1.0
3045386376735,861,2018-06-26,自社EC,2.0
3045386376735,861,2018-06-27,Amazon,0.0
3045386376735,861,2018-06-27,Yahoo!,0.0
3045386376735,861,2018-06-27,楽天,4.0
3045386376735,861,2018-06-27,自社EC,1.0
3045386376735,861,2018-06-28,Amazon,0.0
3045386376735,861,2018-06-28,Yahoo!,0.0
3045386376735,861,2018-06-28,楽天,2.0
3045386376735,861,2018-06-28,自社EC,1.0
3045386376735,861,2018-06-29,Amazon,0.0
3045386376735,861,2018-06-29,Yahoo!,1.0
3045386376735,861,2018-06-29,楽天,4.0
3045386376735,861,2018-06-29,自社EC,3.0
3045386376735,861,2018-06-30,Amazon,0.0
3045386376735,861,2018-06-30,Yahoo!,1.0
3045386376735,861,2018-06-30,楽天,6.0
3045386376735,861,2018-06-30,自社EC,1.0
4514953727427,861,2018-04-01,Amazon,0.0
4514953727427,861,2018-04-01,Yahoo!,0.0
