ì˙ït,store_cd,item_cd,ëçç›å…ó ,îÃîÑâ¬î\ç›å…,à⁄ëóíÜ,î≠íçéc
2018-05-03,861,4548736016521,191,191,0,0
2018-05-04,861,4548736016521,187,187,0,0
2018-05-05,861,4548736016521,182,182,0,0
2018-05-06,861,4548736016521,177,177,0,0
2018-05-07,861,4548736016521,173,173,0,0
2018-05-08,861,4548736016521,165,165,0,0
2018-05-09,861,4548736016521,156,156,0,0
2018-05-10,861,4548736016521,150,150,0,0
2018-05-11,861,4548736016521,142,142,0,0
2018-05-12,861,4548736016521,139,139,0,0
2018-05-13,861,4548736016521,131,131,0,0
2018-05-14,861,4548736016521,123,123,0,0
2018-05-15,861,4548736016521,118,118,0,0
2018-05-16,861,4548736016521,110,110,0,0
2018-05-17,861,4548736016521,104,104,0,0
2018-05-18,861,4548736016521,91,91,0,0
2018-05-19,861,4548736016521,78,78,0,0
2018-05-20,861,4548736016521,64,64,0,0
2018-05-21,861,4548736016521,55,55,0,0
2018-05-22,861,4548736016521,48,48,0,0
2018-05-23,861,4548736016521,44,44,0,0
2018-05-24,861,4548736016521,41,41,0,0
2018-05-25,861,4548736016521,36,36,0,0
2018-05-26,861,4548736016521,33,33,0,0
2018-05-27,861,4548736016521,35,26,0,9
2018-05-28,861,4548736016521,31,22,0,9
2018-05-29,861,4548736016521,25,25,0,0
2018-05-30,861,4548736016521,19,19,0,0
2018-05-31,861,4548736016521,39,14,0,25
2018-06-01,861,4548736016521,35,35,0,0
2018-06-02,861,4548736016521,33,33,0,0
2018-06-03,861,4548736016521,20,20,0,0
2018-06-04,861,4548736016521,27,4,0,23
2018-06-05,861,4548736016521,42,1,0,41
2018-06-06,861,4548736016521,40,18,0,22
2018-06-07,861,4548736016521,32,24,0,8
2018-06-08,861,4548736016521,38,25,0,13
2018-06-09,861,4548736016521,30,17,0,13
2018-06-10,861,4548736016521,22,9,0,13
2018-06-11,861,4548736016521,46,19,0,27
2018-06-12,861,4548736016521,38,10,0,28
2018-06-13,861,4548736016521,44,33,0,11
2018-06-14,861,4548736016521,54,28,0,26
2018-06-15,861,4548736016521,51,36,0,15
2018-06-16,861,4548736016521,51,51,0,0
2018-06-17,861,4548736016521,48,48,0,0
2018-06-18,861,4548736016521,45,45,0,0
2018-06-19,861,4548736016521,39,39,0,0
2018-06-20,861,4548736016521,38,37,0,1
2018-06-21,861,4548736016521,37,32,0,5
2018-06-22,861,4548736016521,41,34,0,7
2018-06-23,861,4548736016521,40,40,0,0
2018-06-24,861,4548736016521,39,39,0,0
2018-06-25,861,4548736016521,32,32,0,0
2018-06-26,861,4548736016521,34,27,0,7
2018-06-27,861,4548736016521,36,32,0,4
2018-06-28,861,4548736016521,34,30,0,4
2018-06-29,861,4548736016521,35,30,0,5
2018-06-30,861,4548736016521,31,31,0,0
2018-07-01,861,4548736016521,31,31,0,0
2018-07-02,861,4548736016521,30,27,0,3
2018-07-03,861,4548736016521,23,22,0,1
2018-07-04,861,4548736016521,22,13,0,9
2018-07-05,861,4548736016521,33,10,0,23
2018-07-06,861,4548736016521,28,28,0,0
2018-07-07,861,4548736016521,7,7,0,0
2018-07-08,861,4548736016521,1,1,0,0
2018-07-09,861,4548736016521,33,1,0,32
2018-07-10,861,4548736016521,30,30,0,0
2018-07-11,861,4548736016521,22,20,0,2
2018-07-12,861,4548736016521,27,12,0,15
2018-07-13,861,4548736016521,20,20,0,0
2018-07-14,861,4548736016521,18,18,0,0
2018-07-15,861,4548736016521,11,11,0,0
2018-07-16,861,4548736016521,3,3,0,0
2018-07-17,861,4548736016521,24,3,1,20
2018-07-18,861,4548736016521,29,3,1,25
2018-07-19,861,4548736016521,31,21,0,10
2018-07-20,861,4548736016521,37,27,0,10
2018-07-21,861,4548736016521,32,22,0,10
2018-07-22,861,4548736016521,32,22,0,10
2018-07-23,861,4548736016521,38,33,0,5
2018-07-24,861,4548736016521,47,37,0,10
2018-07-25,861,4548736016521,36,34,0,2
2018-07-26,861,4548736016521,50,32,0,18
2018-07-27,861,4548736016521,44,44,0,0
2018-07-28,861,4548736016521,39,39,0,0
2018-07-29,861,4548736016521,33,33,0,0
2018-07-30,861,4548736016521,48,28,0,20
2018-07-31,861,4548736016521,47,27,0,20
2018-04-01,861,4548736065253,3,0,0,3
2018-04-02,861,4548736065253,7,0,0,7
2018-04-03,861,4548736065253,7,5,0,2
2018-04-04,861,4548736065253,5,3,0,2
2018-04-05,861,4548736065253,12,2,0,10
2018-04-06,861,4548736065253,11,1,0,10
2018-04-07,861,4548736065253,10,1,0,9
2018-04-08,861,4548736065253,9,0,0,9
2018-04-09,861,4548736065253,9,0,0,9
2018-04-10,861,4548736065253,30,0,0,30
2018-04-11,861,4548736065253,30,0,0,30
2018-04-12,861,4548736065253,30,0,0,30
2018-04-13,861,4548736065253,30,0,0,30
2018-04-14,861,4548736065253,29,1,0,28
2018-04-15,861,4548736065253,29,1,0,28
2018-04-16,861,4548736065253,29,1,0,28
2018-04-17,861,4548736065253,29,11,0,18
2018-04-18,861,4548736065253,27,9,0,18
2018-04-19,861,4548736065253,21,21,0,0
2018-04-20,861,4548736065253,18,18,0,0
2018-04-21,861,4548736065253,13,13,0,0
2018-04-22,861,4548736065253,13,13,0,0
2018-04-23,861,4548736065253,18,9,0,9
2018-04-24,861,4548736065253,24,8,0,16
2018-04-25,861,4548736065253,20,13,0,7
2018-04-26,861,4548736065253,16,16,0,0
2018-04-27,861,4548736065253,15,15,0,0
2018-04-28,861,4548736065253,15,15,0,0
2018-04-29,861,4548736065253,15,15,0,0
2018-04-30,861,4548736065253,25,14,0,11
2018-05-01,861,4548736065253,25,14,0,11
2018-05-02,861,4548736065253,24,24,0,0
2018-05-03,861,4548736065253,22,22,0,0
2018-05-04,861,4548736065253,21,21,0,0
2018-05-05,861,4548736065253,18,18,0,0
2018-05-06,861,4548736065253,17,17,0,0
2018-05-07,861,4548736065253,14,14,0,0
2018-05-08,861,4548736065253,13,13,0,0
2018-05-09,861,4548736065253,13,13,0,0
2018-05-10,861,4548736065253,13,13,0,0
2018-05-11,861,4548736065253,12,12,0,0
2018-05-12,861,4548736065253,9,9,0,0
2018-05-13,861,4548736065253,7,7,0,0
2018-05-14,861,4548736065253,6,6,0,0
2018-05-15,861,4548736065253,9,6,0,3
2018-05-16,861,4548736065253,9,9,0,0
2018-05-17,861,4548736065253,9,9,0,0
2018-05-18,861,4548736065253,10,9,0,1
2018-05-19,861,4548736065253,10,10,0,0
2018-05-20,861,4548736065253,9,9,0,0
2018-05-21,861,4548736065253,9,9,0,0
2018-05-22,861,4548736065253,10,10,0,0
2018-05-23,861,4548736065253,10,10,0,0
2018-05-24,861,4548736065253,10,10,0,0
2018-05-25,861,4548736065253,9,9,0,0
2018-05-26,861,4548736065253,8,8,0,0
2018-05-27,861,4548736065253,8,8,0,0
2018-05-28,861,4548736065253,5,5,0,0
2018-05-29,861,4548736065253,4,4,0,0
2018-05-30,861,4548736065253,4,4,0,0
2018-05-31,861,4548736065253,6,4,0,2
2018-06-01,861,4548736065253,7,6,0,1
2018-06-02,861,4548736065253,7,6,0,1
2018-06-03,861,4548736065253,7,6,0,1
2018-06-04,861,4548736065253,4,4,0,0
2018-06-05,861,4548736065253,6,4,0,2
2018-06-06,861,4548736065253,6,4,0,2
2018-06-07,861,4548736065253,5,5,0,0
2018-06-08,861,4548736065253,14,12,0,2
2018-06-09,861,4548736065253,12,10,0,2
2018-06-10,861,4548736065253,10,8,0,2
2018-06-11,861,4548736065253,9,7,0,2
2018-06-12,861,4548736065253,7,7,0,0
2018-06-13,861,4548736065253,6,6,0,0
2018-06-14,861,4548736065253,12,4,0,8
2018-06-15,861,4548736065253,12,4,0,8
2018-06-16,861,4548736065253,12,12,0,0
2018-06-17,861,4548736065253,12,12,0,0
2018-06-18,861,4548736065253,12,12,0,0
2018-06-19,861,4548736065253,12,12,0,0
2018-06-20,861,4548736065253,11,11,0,0
2018-06-21,861,4548736065253,10,10,0,0
2018-06-22,861,4548736065253,10,10,0,0
2018-06-23,861,4548736065253,6,6,0,0
2018-06-24,861,4548736065253,3,3,0,0
2018-06-25,861,4548736065253,6,1,0,5
2018-06-26,861,4548736065253,8,5,0,3
2018-06-27,861,4548736065253,7,7,0,0
2018-06-28,861,4548736065253,2,2,0,0
2018-06-29,861,4548736065253,10,2,0,8
2018-06-30,861,4548736065253,9,1,0,8
2018-07-01,861,4548736065253,9,1,0,8
2018-07-02,861,4548736065253,9,7,0,2
2018-07-03,861,4548736065253,12,7,0,5
2018-07-04,861,4548736065253,13,8,0,5
2018-07-05,861,4548736065253,11,6,0,5
2018-07-06,861,4548736065253,11,5,0,6
2018-07-07,861,4548736065253,7,1,0,6
2018-07-08,861,4548736065253,6,0,0,6
2018-07-09,861,4548736065253,10,0,0,10
2018-07-10,861,4548736065253,9,0,0,9
2018-07-11,861,4548736065253,8,0,0,8
2018-07-12,861,4548736065253,11,0,0,11
2018-07-13,861,4548736065253,11,0,0,11
2018-07-14,861,4548736065253,11,0,0,11
2018-07-15,861,4548736065253,11,0,0,11
